Snow,John,jsnow@gmail.com,abc123,415-555-5555,1980-12-01,King of the North,123 Lake St,San Francisco,CA,94121,/static/images/users/johnsnow.jpg
Stark,Arya,astark@gmail.com,abc123,415-555-5555,1986-01-01,Assassin,123 Lake St,San Francisco,CA,94121,/static/images/users/aryastark.jpg
Stark,Sansa,sstark@gmail.com,abc123,415-555-5555,1984-08-14,Heir to Winterfell,123 Lake St,San Francisco,CA,94121,/static/images/users/sansastark.jpg
Stark,Bran,bstark@gmail.com,abc123,415-555-5555,1988-03-01,The Raven,123 Lake St,San Francisco,CA,94121,/static/images/users/branstark.jpg
Stark,Robb,rstark@gmail.com,abc123,415-555-5555,1979-09-11,former King of the North,123 Lake St,San Francisco,CA,94121,/static/images/users/robbstark.jpg
Ma,Yenly,ymmisc@gmail.com,abc123,415-555-5555,1978-12-04,Software Engineering Fellow,456 Geary St,San Francisco,CA,94121,/static/images/users/yen.jpg
White,Walter,wwhite@gmail.com,abc123,415-555-5555,1949-10-04,Chemistry Teacher,123 Mission St,San Francisco,CA,94110,/static/images/users/walterwhite.jpg
Pinkman,Jesse,jpinkman@gmail.com,abc123,415-555-5555,1998-04-01,college student,456 Mission St,San Francisco,CA,94110,/static/images/users/jessepinkman.jpg
Lannister,Tyrion,tyrion@gmail.com,abc123,415-555-5555,1975-07-11,Queen's Hand,123 Heartwood Drive,Oakland,CA,94611,/static/images/users/tyrion.jpg
Targaryen,Dani,dtargaryen@gmail.com,abc123,415-555-5555,1995-01-01,Mother of Dragons,123 Heartwood Drive,Oakland,CA,94611,/static/images/users/dani.jpg
Tayaran,Taraneh,tara@gmail.com,abc123,415-555-5555,1995-02-14,Software Engineer,123 Howard St,San Francisco,CA,94103,/static/images/users/taraneh.jpg
Hoang,Vivian,vivian@gmailc.om,abc123,415-555-5555,1995-05-29,Software Engineer,789 Mission St,San Francisco,CA,94110,/static/images/users/vivian.jpg
Lannister,Cersei,cersei@gmail.com,abc123,415-555-5555,1972-10-31,Queen Mother,123 Valencia St,San Francisco,CA,94110,/static/images/users/cersei.png
Lannister,Jamie,jamie@gmail.com,abc123,415-555-5555,1972-10-31,King's Guard,123 Valencia St,San Francisco,CA,94110,/static/images/users/jamiel.jpg
Bard,Lori,lori@gmail.com,abc123,415-555-5555,1995-08-08,Software Engineer,123 Mountain Ave,Oakland,CA,94611,/static/images/users/lori.jpg
Parr,Bob,bob@gmail.com,abc123,415-555-5555,1973-09-18,Mr. Incredible,234 Mountain Ave,Oakland,CA,94611,/static/images/users/mrincredible.jpg
Best,Lucius,lbest@gmail.com,abc123,415-555-5555,1977-06-03,Frozone,345 Mountain Ave,Oakland,CA,94611,/static/images/users/frozon.jpg
Parr,Violet,violet@gmail.com,abc123,415-555-5555,2000-12-25,student,234 Mountain Ave,Oakland,CA,94611,/static/images/users/violet.jpg
Liu,Francis,francis@gmail.com,abc123,415-555-5555,1995-11-04,Software Engineer,123 Howard St,San Francisco,CA,94103,/static/images/users/francis.jpg
Foundation,Nine Lives,ninelives@gmail.com,abc123,415-555-5555,2000-06-15,Cat Shelter,234 Howard St,San Francisco,CA,94103,/static/images/users/ninelives.jpg
Shih,Jessica,jessica@gmail.com,abc123,415-555-5555,1985-08-16,PR Manager,234 Lake St,San Francisco,CA,94121,/static/images/users/jessica.jpg
Patel,Manisha,manisha@gmail.com,abc123,415-555-5555,1995-05-28,Software Engineer,123 Lakeshore Ave,Oakland,CA,94612,/static/images/users/manisha.jpg
Rescue,Rocket Dog,rocketdog@gmail.com,abc123,415-555-5555,2001-03-01,Dog Shelter,456 Mountain Ave,Oakland,CA,94611,/static/images/users/rocketdog.png
